,country,continent,year,life_expectancy,population,gdp_per_capita
431,Slovak Republic,Europe,1982-01-01,70.8,5048043,11348.54585
432,Germany,Europe,1967-01-01,70.8,76368453,14745.62561
433,Singapore,Asia,1977-01-01,70.795,2325300,11210.08948
434,Denmark,Europe,1952-01-01,70.78,4334000,9692.385245
435,Argentina,Americas,1987-01-01,70.774,31620918,9139.671389
436,United States,Americas,1967-01-01,70.76,198712000,19530.36557
437,United Kingdom,Europe,1962-01-01,70.76,53292000,12477.17707
438,Paraguay,Americas,2002-01-01,70.755,5884491,3783.674243
439,Bahrain,Asia,1987-01-01,70.75,454612,18524.02406
440,Israel,Asia,1967-01-01,70.75,2693585,8393.741404
441,Costa Rica,Americas,1977-01-01,70.75,2108457,5926.876967
442,Mauritius,Africa,1997-01-01,70.736,1149818,7425.705295
443,El Salvador,Americas,2002-01-01,70.734,6353681,5351.568666
444,Cuba,Americas,1972-01-01,70.723,8831348,5305.445256
445,Czech Republic,Europe,1977-01-01,70.71,10161915,14800.16062
446,Malaysia,Asia,1992-01-01,70.693,18319502,7277.912802
447,Bosnia and Herzegovina,Europe,1982-01-01,70.69,4172693,4126.613157
448,Vietnam,Asia,1997-01-01,70.672,76048996,1385.896769
449,Poland,Europe,1977-01-01,70.67,34621254,9508.141454
450,Indonesia,Asia,2007-01-01,70.65,223547000,3540.651564
451,"Korea, Dem. Rep.",Asia,1987-01-01,70.647,19067554,4106.492315
452,Croatia,Europe,1977-01-01,70.64,4318673,11305.38517
453,Montenegro,Europe,1972-01-01,70.636,527678,7778.414017
454,Austria,Europe,1972-01-01,70.63,7544201,16661.6256
455,Thailand,Asia,2007-01-01,70.616,65068149,7458.396327
456,Taiwan,Asia,1977-01-01,70.59,16785196,5596.519826
457,Chile,Americas,1982-01-01,70.565,11487112,5095.665738
458,Switzerland,Europe,1957-01-01,70.56,5126000,17909.48973
459,Saudi Arabia,Asia,1997-01-01,70.533,21229759,20586.69019
460,France,Europe,1962-01-01,70.51,47124000,10560.48553
461,Panama,Americas,1982-01-01,70.472,2036305,7009.601598
462,Croatia,Europe,1982-01-01,70.46,4413368,13221.82184
463,Sri Lanka,Asia,1997-01-01,70.457,18698655,2664.477257
464,Slovak Republic,Europe,1977-01-01,70.45,4827803,10922.66404
465,China,Asia,1997-01-01,70.426,1230075000,2289.234136
466,United Kingdom,Europe,1957-01-01,70.42,51430000,11283.17795
467,Bulgaria,Europe,1967-01-01,70.42,8310226,5577.0028
468,Albania,Europe,1982-01-01,70.42,2780097,3630.880722
469,Portugal,Europe,1977-01-01,70.41,9662600,10172.48572
470,Czech Republic,Europe,1967-01-01,70.38,9835109,11399.44489
471,Sri Lanka,Asia,1992-01-01,70.379,17587060,2153.739222
472,Slovak Republic,Europe,1972-01-01,70.35,4593433,9674.167626
473,Slovak Republic,Europe,1962-01-01,70.33,4237384,7481.107598
474,Australia,Oceania,1957-01-01,70.33,9712569,10949.64959
475,Bulgaria,Europe,1997-01-01,70.32,8066057,5970.38876
476,Colombia,Americas,1997-01-01,70.313,37657830,6117.361746
477,Philippines,Asia,2002-01-01,70.303,82995088,2650.921068
478,Germany,Europe,1962-01-01,70.3,73739117,12902.46291
479,Serbia,Europe,1977-01-01,70.3,8686367,12980.66956
480,Czech Republic,Europe,1972-01-01,70.29,9862158,13108.4536
481,Ireland,Europe,1962-01-01,70.29,2830000,6631.597314
482,Lebanon,Asia,1997-01-01,70.265,3430388,8754.96385
483,New Zealand,Oceania,1957-01-01,70.26,2229407,12247.39532
484,Guatemala,Americas,2007-01-01,70.259,12572928,5186.050003
485,Belgium,Europe,1962-01-01,70.25,9218400,10991.20676
486,United States,Americas,1962-01-01,70.21,186538000,16173.14586
487,Honduras,Americas,2007-01-01,70.198,7483763,3548.330846
488,Venezuela,Americas,1987-01-01,70.19,17910182,9883.584648
489,Serbia,Europe,1982-01-01,70.162,9032824,15181.0927
490,Austria,Europe,1967-01-01,70.14,7376998,12834.6024
491,Jamaica,Americas,1977-01-01,70.11,2156814,6650.195573
492,Tunisia,Africa,1992-01-01,70.001,8523077,4332.720164
493,"Hong Kong, China",Asia,1967-01-01,70,3722800,6197.962814
494,"Korea, Dem. Rep.",Asia,1992-01-01,69.978,20711375,3726.063507
495,Canada,Americas,1957-01-01,69.96,17010154,12489.95006
496,Dominican Republic,Americas,1997-01-01,69.957,7992357,3614.101285
497,Hungary,Europe,1977-01-01,69.95,10637171,11674.83737
498,Argentina,Americas,1982-01-01,69.942,29341374,8997.897412
499,Peru,Americas,2002-01-01,69.906,26769436,5909.020073
500,Czech Republic,Europe,1962-01-01,69.9,9620282,10136.86713
501,Reunion,Africa,1982-01-01,69.885,517810,5267.219353
502,Trinidad and Tobago,Americas,1992-01-01,69.862,1183669,7370.990932
503,Bosnia and Herzegovina,Europe,1977-01-01,69.86,4086000,3528.481305
504,Finland,Europe,1967-01-01,69.83,4605744,10921.63626
505,Slovenia,Europe,1972-01-01,69.82,1694510,12383.4862
506,Trinidad and Tobago,Americas,2007-01-01,69.819,1056608,18008.50924
507,"Korea, Rep.",Asia,1987-01-01,69.81,41622000,8533.088805
508,Egypt,Africa,2002-01-01,69.806,73312559,4754.604414
509,Jordan,Asia,1997-01-01,69.772,4526235,3645.379572
510,Hungary,Europe,1972-01-01,69.76,10394091,10168.65611
511,Mauritius,Africa,1992-01-01,69.745,1096202,6058.253846
512,Romania,Europe,1997-01-01,69.72,22562458,7346.547557
513,West Bank and Gaza,Asia,1992-01-01,69.718,2104779,6017.654756
514,Spain,Europe,1962-01-01,69.69,31158061,5693.843879
515,Romania,Europe,1982-01-01,69.66,22356726,9605.314053
516,Switzerland,Europe,1952-01-01,69.62,4815000,14734.23275
517,Puerto Rico,Americas,1962-01-01,69.62,2448046,5108.34463
518,Morocco,Africa,2002-01-01,69.615,31167783,3258.495584
519,Ecuador,Americas,1992-01-01,69.613,10748394,7103.702595
520,Croatia,Europe,1972-01-01,69.61,4225310,9164.090127
521,Poland,Europe,1967-01-01,69.61,31785378,6557.152776
522,Trinidad and Tobago,Americas,1987-01-01,69.582,1191336,7388.597823
523,Hungary,Europe,1987-01-01,69.58,10612740,12986.47998
524,Austria,Europe,1962-01-01,69.54,7129864,10750.72111
525,El Salvador,Americas,1997-01-01,69.535,5783439,5154.825496
526,Romania,Europe,1987-01-01,69.53,22686371,9696.273295
527,Singapore,Asia,1972-01-01,69.521,2152400,8597.756202
528,Bulgaria,Europe,1962-01-01,69.51,8012946,4254.337839
529,Greece,Europe,1962-01-01,69.51,8448233,6017.190733
530,Hungary,Europe,1967-01-01,69.5,10223422,9326.64467
531,Malaysia,Asia,1987-01-01,69.5,16331785,5249.802653
532,Mexico,Americas,1987-01-01,69.498,80122492,8688.156003
533,United States,Americas,1957-01-01,69.49,171984000,14847.12712
534,Uruguay,Americas,1977-01-01,69.481,2873520,6504.339663
535,Trinidad and Tobago,Americas,1997-01-01,69.465,1138101,8792.573126
536,Romania,Europe,1977-01-01,69.46,21658597,9356.39724
537,Iran,Asia,2002-01-01,69.451,66907826,9240.761975
538,Paraguay,Americas,1997-01-01,69.4,5154123,4247.400261
539,Israel,Asia,1962-01-01,69.39,2310904,7105.630706
540,New Zealand,Oceania,1952-01-01,69.39,1994794,10556.57566
541,Hungary,Europe,1982-01-01,69.39,10705535,12545.99066
542,Taiwan,Asia,1972-01-01,69.39,15226039,4062.523897
543,Brazil,Americas,1997-01-01,69.388,168546719,7957.980824
544,Romania,Europe,1992-01-01,69.36,22797027,6598.409903
545,Kuwait,Asia,1977-01-01,69.343,1140357,59265.47714
546,Lebanon,Asia,1992-01-01,69.292,3219994,6890.806854
547,Portugal,Europe,1972-01-01,69.26,8970450,9022.247417
548,Syria,Asia,1992-01-01,69.249,13219062,3340.542768
549,Italy,Europe,1962-01-01,69.24,50843200,8243.58234
550,Belgium,Europe,1957-01-01,69.24,8989111,9714.960623
551,Romania,Europe,1972-01-01,69.21,20662648,8011.414402
552,Slovenia,Europe,1967-01-01,69.18,1646912,9405.489397
553,United Kingdom,Europe,1952-01-01,69.18,50430000,9979.508487
554,Hungary,Europe,1992-01-01,69.17,10348684,10535.62855
555,Algeria,Africa,1997-01-01,69.152,29072015,4797.295051
556,Slovenia,Europe,1962-01-01,69.15,1582962,7402.303395
557,Australia,Oceania,1952-01-01,69.12,8691212,10039.59564
558,"Korea, Dem. Rep.",Asia,1982-01-01,69.1,17647518,4106.525293
559,Germany,Europe,1957-01-01,69.1,71019069,10187.82665
560,Bahrain,Asia,1982-01-01,69.052,377967,19211.14731
561,Czech Republic,Europe,1957-01-01,69.03,9513758,8256.343918
562,Sri Lanka,Asia,1987-01-01,69.011,16495304,1876.766827
563,Jamaica,Americas,1972-01-01,69,1997616,7433.889293
564,Guatemala,Americas,2002-01-01,68.978,11178650,4858.347495
565,Trinidad and Tobago,Americas,2002-01-01,68.976,1101832,11460.60023
566,France,Europe,1957-01-01,68.93,44310863,8662.834898
567,Albania,Europe,1977-01-01,68.93,2509048,3533.00391
568,Ireland,Europe,1957-01-01,68.9,2878220,5599.077872
569,Turkey,Europe,1997-01-01,68.835,63047647,6601.429915
570,Trinidad and Tobago,Americas,1982-01-01,68.832,1116479,9119.528607
571,Saudi Arabia,Asia,1992-01-01,68.768,16945857,24841.61777
572,Sri Lanka,Asia,1982-01-01,68.757,15410151,1648.079789
573,Libya,Africa,1992-01-01,68.755,4364501,9640.138501
574,Finland,Europe,1962-01-01,68.75,4491443,9371.842561
575,Canada,Americas,1952-01-01,68.75,14785584,11367.16112
576,Mauritius,Africa,1987-01-01,68.74,1042663,4783.586903
577,Japan,Asia,1962-01-01,68.73,95831757,6576.649461
578,Serbia,Europe,1972-01-01,68.7,8313288,10522.06749
579,China,Asia,1992-01-01,68.69,1164970000,1655.784158
580,Panama,Americas,1977-01-01,68.681,1839782,5351.912144
581,Uruguay,Americas,1972-01-01,68.673,2829526,5703.408898
582,Indonesia,Asia,2002-01-01,68.588,211060000,2873.91287
583,Honduras,Americas,2002-01-01,68.565,6677328,3099.72866
584,Thailand,Asia,2002-01-01,68.564,62806748,5913.187529
585,Philippines,Asia,1997-01-01,68.564,75012988,2536.534925
586,Venezuela,Americas,1982-01-01,68.557,15620766,11152.41011
587,Puerto Rico,Americas,1957-01-01,68.54,2260000,3907.156189
588,Croatia,Europe,1967-01-01,68.5,4174366,6960.297861
589,Argentina,Americas,1977-01-01,68.481,26983828,10079.02674
590,Uruguay,Americas,1967-01-01,68.468,2748579,5444.61962
591,Dominican Republic,Americas,1992-01-01,68.457,7351181,3044.214214
592,United States,Americas,1952-01-01,68.44,157553000,13990.48208
593,Nicaragua,Americas,1997-01-01,68.426,4609572,2253.023004
594,Colombia,Americas,1992-01-01,68.421,34202721,5444.648617
595,Peru,Americas,1997-01-01,68.386,24748122,5838.347657
596,Trinidad and Tobago,Americas,1977-01-01,68.3,1039009,7899.554209
597,Cuba,Americas,1967-01-01,68.29,8139332,5690.268015
598,Uruguay,Americas,1962-01-01,68.253,2598466,5603.357717
599,Paraguay,Americas,1992-01-01,68.225,4483945,4196.411078
600,Iran,Asia,1997-01-01,68.042,63327987,8263.590301
601,Jordan,Asia,1992-01-01,68.015,3867409,3431.593647
602,Belgium,Europe,1952-01-01,68,8730405,8343.105127
603,Malaysia,Asia,1982-01-01,68,14441916,4920.355951
604,Hungary,Europe,1962-01-01,67.96,10063000,7550.359877
605,Singapore,Asia,1967-01-01,67.946,1977600,4977.41854
606,Lebanon,Asia,1987-01-01,67.926,3089353,5377.091329
607,Greece,Europe,1957-01-01,67.86,8096218,4916.299889
608,Slovenia,Europe,1957-01-01,67.85,1533070,5862.276629
609,Costa Rica,Americas,1972-01-01,67.849,1834796,5118.146939
610,Israel,Asia,1957-01-01,67.84,1944401,5385.278451
611,Italy,Europe,1957-01-01,67.81,49182000,6248.656232
612,Colombia,Americas,1987-01-01,67.768,30964245,4903.2191
613,Algeria,Africa,1992-01-01,67.744,26298373,5023.216647
614,Oman,Asia,1987-01-01,67.734,1593882,18115.22313
615,"Korea, Dem. Rep.",Asia,1997-01-01,67.727,21585105,1690.756814
616,Kuwait,Asia,1972-01-01,67.712,841934,109347.867
617,Albania,Europe,1972-01-01,67.69,2263554,3313.422188
618,Vietnam,Asia,1992-01-01,67.662,69940728,989.0231487
619,Morocco,Africa,1997-01-01,67.66,28529501,2982.101858
620,Honduras,Americas,1997-01-01,67.659,5867957,3160.454906
621,"Hong Kong, China",Asia,1962-01-01,67.65,3305200,4692.648272
622,Poland,Europe,1962-01-01,67.64,30329617,5338.752143
623,Thailand,Asia,1997-01-01,67.521,60216677,5852.625497
624,Jamaica,Americas,1967-01-01,67.51,1861096,6124.703451
625,Taiwan,Asia,1967-01-01,67.5,13648692,2643.858681
626,Germany,Europe,1952-01-01,67.5,69145952,7144.114393
627,Finland,Europe,1957-01-01,67.49,4324000,7545.415386
628,Austria,Europe,1957-01-01,67.48,6965860,8842.59803
629,Venezuela,Americas,1977-01-01,67.456,13503563,13143.95095
630,Slovak Republic,Europe,1957-01-01,67.45,3844277,6093.26298
631,Bosnia and Herzegovina,Europe,1972-01-01,67.45,3819000,2860.16975
632,France,Europe,1952-01-01,67.41,42459667,7029.809327
633,Mexico,Americas,1982-01-01,67.405,71640904,9611.147541
634,Paraguay,Americas,1987-01-01,67.378,3886512,3998.875695
635,Thailand,Asia,1992-01-01,67.298,56667095,4616.896545
636,"Korea, Dem. Rep.",Asia,2007-01-01,67.297,23301725,1593.06548
637,China,Asia,1987-01-01,67.274,1084035000,1378.904018
638,Ecuador,Americas,1987-01-01,67.231,9545158,6481.776993
639,Egypt,Africa,1997-01-01,67.217,66134291,4173.181797
640,Montenegro,Europe,1967-01-01,67.178,501035,5907.850937
641,"Korea, Dem. Rep.",Asia,1977-01-01,67.159,16325320,4106.301249
642,Croatia,Europe,1962-01-01,67.13,4076557,5477.890018
643,"Korea, Rep.",Asia,1982-01-01,67.123,39326000,5622.942464
644,Argentina,Americas,1972-01-01,67.065,24779799,9443.038526
645,Reunion,Africa,1977-01-01,67.064,492095,4319.804067
646,Brazil,Americas,1992-01-01,67.057,155975974,6950.283021
647,Chile,Americas,1977-01-01,67.052,10599793,4756.763836
648,West Bank and Gaza,Asia,1987-01-01,67.046,1691210,5107.197384
649,Uruguay,Americas,1957-01-01,67.044,2424959,6150.772969
650,Lebanon,Asia,1982-01-01,66.983,3086876,7640.519521
651,Syria,Asia,1987-01-01,66.974,11242847,3116.774285
652,Serbia,Europe,1967-01-01,66.914,7971222,7991.707066
653,Ireland,Europe,1952-01-01,66.91,2952156,5210.280328
654,Tunisia,Africa,1987-01-01,66.894,7724976,3810.419296
655,Paraguay,Americas,1982-01-01,66.874,3366439,4258.503604
656,Czech Republic,Europe,1952-01-01,66.87,9125183,6876.14025
657,Mongolia,Asia,2007-01-01,66.803,2874127,3095.772271
658,Romania,Europe,1967-01-01,66.8,19284814,6470.866545
659,Romania,Europe,1962-01-01,66.8,18680721,4734.997586
660,Austria,Europe,1952-01-01,66.8,6927772,6137.076492
661,El Salvador,Americas,1992-01-01,66.798,5274649,4444.2317
662,Mauritius,Africa,1982-01-01,66.711,992040,3688.037739
663,"Korea, Dem. Rep.",Asia,2002-01-01,66.662,22215365,1646.758151
664,Spain,Europe,1957-01-01,66.66,29841614,4564.80241
665,Colombia,Americas,1982-01-01,66.653,27764644,4397.575659
666,Bulgaria,Europe,1957-01-01,66.61,7651254,3008.670727
667,Portugal,Europe,1967-01-01,66.6,9103000,6361.517993
668,Finland,Europe,1952-01-01,66.55,4090500,6424.519071
669,Philippines,Asia,1992-01-01,66.458,67185766,2279.324017
670,Peru,Americas,1992-01-01,66.458,22430449,4446.380924
671,Hungary,Europe,1957-01-01,66.41,9839000,6040.180011
672,Honduras,Americas,1992-01-01,66.399,5077347,3081.694603
673,Paraguay,Americas,1977-01-01,66.353,2984494,3248.373311
674,Guatemala,Americas,1997-01-01,66.322,9803875,4684.313807
675,Saudi Arabia,Asia,1987-01-01,66.295,14619745,21198.26136
676,Libya,Africa,1987-01-01,66.234,3799845,11770.5898
677,Albania,Europe,1967-01-01,66.22,1984060,2760.196931
678,Panama,Americas,1972-01-01,66.216,1616384,5364.249663
679,Turkey,Europe,1992-01-01,66.146,58179144,5678.348271
680,Lebanon,Asia,1977-01-01,66.099,3115787,8659.696836
681,Thailand,Asia,1987-01-01,66.084,52910342,2982.653773
682,Uruguay,Americas,1952-01-01,66.071,2252965,5716.766744
683,Dominican Republic,Americas,1987-01-01,66.046,6655297,2899.842175
684,Indonesia,Asia,1997-01-01,66.041,199278000,3119.335603
685,Sri Lanka,Asia,1977-01-01,65.949,14116836,1348.775651
686,Italy,Europe,1952-01-01,65.94,47666000,4931.404155
687,Trinidad and Tobago,Americas,1972-01-01,65.9,975199,6619.551419
688,Jordan,Asia,1987-01-01,65.869,2820042,4448.679912
689,Greece,Europe,1952-01-01,65.86,7733250,3530.690067
690,Nicaragua,Americas,1992-01-01,65.843,4017939,2170.151724
691,Paraguay,Americas,1972-01-01,65.815,2614104,2523.337977
692,Algeria,Africa,1987-01-01,65.799,23254956,5681.358539
693,Singapore,Asia,1962-01-01,65.798,1750200,3674.735572
694,Poland,Europe,1957-01-01,65.77,28235346,4734.253019
695,Iran,Asia,1992-01-01,65.742,60397973,7235.653188
696,Venezuela,Americas,1972-01-01,65.712,11515649,10505.25966
697,Argentina,Americas,1967-01-01,65.634,22934225,8052.953021
698,Jamaica,Americas,1962-01-01,65.61,1665128,5246.107524
699,Bahrain,Asia,1977-01-01,65.593,297410,19340.10196
700,Slovenia,Europe,1952-01-01,65.57,1489518,4215.041741
701,Bolivia,Americas,2007-01-01,65.554,9119152,3822.137084
702,Sao Tome and Principe,Africa,2007-01-01,65.528,199579,1598.435089
703,China,Asia,1982-01-01,65.525,1000281000,962.4213805
704,Japan,Asia,1957-01-01,65.5,91563009,4317.694365
705,Pakistan,Asia,2007-01-01,65.483,169270617,2605.94758
706,Costa Rica,Americas,1967-01-01,65.424,1588717,4161.727834
707,Lebanon,Asia,1972-01-01,65.421,2680018,7486.384341
708,Trinidad and Tobago,Americas,1967-01-01,65.4,960155,5621.368472
709,Morocco,Africa,1992-01-01,65.393,25798239,2948.047252
710,Israel,Asia,1952-01-01,65.39,1620914,4086.522128
711,Malaysia,Asia,1977-01-01,65.256,12845381,3827.921571
712,Cuba,Americas,1962-01-01,65.246,7254373,5180.75591
713,Brazil,Americas,1987-01-01,65.205,142938076,7807.095818
714,Taiwan,Asia,1962-01-01,65.2,11918938,1822.879028
715,Comoros,Africa,2007-01-01,65.152,710960,986.1478792
716,Argentina,Americas,1962-01-01,65.142,21283783,7133.166023
717,Iraq,Asia,1987-01-01,65.044,16543189,11643.57268
718,Sri Lanka,Asia,1972-01-01,65.042,13016733,1213.39553
719,Mongolia,Asia,2002-01-01,65.033,2674234,2140.739323
720,Mexico,Americas,1977-01-01,65.032,63759976,7674.929108
721,Paraguay,Americas,1967-01-01,64.951,2287985,2299.376311
722,Spain,Europe,1952-01-01,64.94,28549870,3834.034742
723,Mauritius,Africa,1977-01-01,64.93,913025,3710.982963
724,Trinidad and Tobago,Americas,1962-01-01,64.9,887498,4997.523971
725,Albania,Europe,1962-01-01,64.82,1728137,2312.888958
726,Bosnia and Herzegovina,Europe,1967-01-01,64.79,3585000,2172.352423
727,Croatia,Europe,1957-01-01,64.77,3991242,4338.231617
728,"Korea, Rep.",Asia,1977-01-01,64.766,36436000,4657.22102
729,"Hong Kong, China",Asia,1957-01-01,64.75,2736300,3629.076457
730,India,Asia,2007-01-01,64.698,1110396331,2452.210407
731,Kuwait,Asia,1967-01-01,64.624,575003,80894.88326
732,Thailand,Asia,1982-01-01,64.597,48827160,2393.219781
733,Syria,Asia,1982-01-01,64.59,9410494,3761.837715
734,Serbia,Europe,1962-01-01,64.531,7616060,6289.629157
735,Honduras,Americas,1987-01-01,64.492,4372203,3023.096699
736,West Bank and Gaza,Asia,1982-01-01,64.406,1425876,4336.032082
737,Argentina,Americas,1957-01-01,64.399,19610538,6856.856212
738,Portugal,Europe,1962-01-01,64.39,9019800,4727.954889
739,Paraguay,Americas,1962-01-01,64.361,2009813,2148.027146
740,Slovak Republic,Europe,1952-01-01,64.36,3558137,5074.659104
741,Ecuador,Americas,1982-01-01,64.342,8365850,7213.791267
742,Sao Tome and Principe,Africa,2002-01-01,64.337,170372,1353.09239
743,Puerto Rico,Americas,1952-01-01,64.28,2227000,3081.959785
744,Reunion,Africa,1972-01-01,64.274,461633,5047.658563
745,Sri Lanka,Asia,1967-01-01,64.266,11737396,1135.514326
746,Mauritania,Africa,2007-01-01,64.164,3270065,1803.151496
747,Philippines,Asia,1987-01-01,64.151,60017788,2189.634995
748,Peru,Americas,1987-01-01,64.134,20195924,6360.943444
749,Romania,Europe,1957-01-01,64.1,17829327,3943.370225
750,Panama,Americas,1967-01-01,64.071,1405486,4421.009084
751,Bangladesh,Asia,2007-01-01,64.062,150448339,1391.253792
752,Tunisia,Africa,1982-01-01,64.048,6734098,3560.233174
753,Hungary,Europe,1952-01-01,64.03,9504000,5263.673816
754,"Korea, Dem. Rep.",Asia,1972-01-01,63.983,14781241,3701.621503
755,China,Asia,1977-01-01,63.96736,943455000,741.2374699
756,Bolivia,Americas,2002-01-01,63.883,8445134,3413.26269
757,Lebanon,Asia,1967-01-01,63.87,2186894,6006.983042
758,Colombia,Americas,1977-01-01,63.837,25094412,3815.80787
759,Nepal,Asia,2007-01-01,63.785,28901790,1091.359778
760,Jordan,Asia,1982-01-01,63.739,2347031,4161.415959
761,Montenegro,Europe,1962-01-01,63.728,474528,4649.593785
762,Dominican Republic,Americas,1982-01-01,63.727,5968349,2861.092386
763,Egypt,Africa,1992-01-01,63.674,59402198,3794.755195
764,Mongolia,Asia,1997-01-01,63.625,2494803,1902.2521
765,Botswana,Africa,1987-01-01,63.622,1151184,6205.88385
766,Pakistan,Asia,2002-01-01,63.61,153403524,2092.712441
767,Venezuela,Americas,1967-01-01,63.479,9709552,9541.474188
768,Chile,Americas,1972-01-01,63.441,9717524,5494.024437
769,Guatemala,Americas,1992-01-01,63.373,8486949,4439.45084
770,Brazil,Americas,1982-01-01,63.336,128962939,7030.835878
771,Sao Tome and Principe,Africa,1997-01-01,63.306,145608,1339.076036
772,Bahrain,Asia,1972-01-01,63.3,230800,18268.65839
773,Paraguay,Americas,1957-01-01,63.196,1770902,2046.154706
774,Singapore,Asia,1957-01-01,63.179,1445929,2843.104409
775,El Salvador,Americas,1987-01-01,63.154,4842194,4140.442097
776,China,Asia,1972-01-01,63.11888,862030000,676.9000921
777,Turkey,Europe,1987-01-01,63.108,52881328,5089.043686
778,Senegal,Africa,2007-01-01,63.062,12267493,1712.472136
779,Iran,Asia,1987-01-01,63.04,51889696,6642.881371
780,Japan,Asia,1952-01-01,63.03,86459025,3216.956347
781,Saudi Arabia,Asia,1982-01-01,63.012,11254672,33693.17525
782,Malaysia,Asia,1972-01-01,63.01,11441462,2849.09478
783,Comoros,Africa,2002-01-01,62.974,614382,1075.811558
784,Mauritius,Africa,1972-01-01,62.944,851334,2575.484158
785,India,Asia,2002-01-01,62.879,1034172547,1746.769454
786,Costa Rica,Americas,1962-01-01,62.842,1345187,3460.937025
787,Vietnam,Asia,1987-01-01,62.82,62826491,820.7994449
788,Botswana,Africa,1992-01-01,62.745,1342614,7954.111645
789,Sao Tome and Principe,Africa,1992-01-01,62.742,125911,1428.777814
790,Oman,Asia,1982-01-01,62.728,1301048,12954.79101
791,"Yemen, Rep.",Asia,2007-01-01,62.698,22211743,2280.769906
792,Indonesia,Asia,1992-01-01,62.681,184816000,2383.140898
793,Morocco,Africa,1987-01-01,62.677,22987397,2755.046991
794,Paraguay,Americas,1952-01-01,62.649,1555876,1952.308701
795,"Korea, Rep.",Asia,1972-01-01,62.612,33505000,3030.87665
796,Jamaica,Americas,1957-01-01,62.61,1535090,4756.525781
797,Thailand,Asia,1977-01-01,62.494,44148285,1961.224635
798,Argentina,Americas,1952-01-01,62.485,17876956,5911.315053
799,Taiwan,Asia,1957-01-01,62.4,10164215,1507.86129
800,Mexico,Americas,1972-01-01,62.361,55984294,6809.40669
801,Zimbabwe,Africa,1987-01-01,62.351,9216418,706.1573059
802,Cuba,Americas,1957-01-01,62.325,6640752,6092.174359
803,Mauritania,Africa,2002-01-01,62.247,2828858,1579.019543
804,Sri Lanka,Asia,1962-01-01,62.192,10421936,1074.47196
805,Libya,Africa,1982-01-01,62.155,3344074,17364.27538
806,Lebanon,Asia,1962-01-01,62.094,1886848,5714.560611
807,Philippines,Asia,1982-01-01,62.082,53456774,2603.273765
808,Myanmar,Asia,2007-01-01,62.069,47761980,944
809,Bolivia,Americas,1997-01-01,62.05,7693188,3326.143191
810,Iraq,Asia,1982-01-01,62.038,14173318,14517.90711
811,Bangladesh,Asia,2002-01-01,62.013,135656790,1136.39043
812,Nicaragua,Americas,1987-01-01,62.008,3344353,2955.984375
813,Namibia,Africa,1992-01-01,61.999,1554253,3804.537999
814,Bosnia and Herzegovina,Europe,1962-01-01,61.93,3349000,1709.683679
815,South Africa,Africa,1992-01-01,61.888,39964159,7225.069258
816,Pakistan,Asia,1997-01-01,61.818,135564834,2049.350521
817,Panama,Americas,1962-01-01,61.817,1215725,3536.540301
818,Trinidad and Tobago,Americas,1957-01-01,61.8,764900,4100.3934
819,Dominican Republic,Americas,1977-01-01,61.788,5302800,2681.9889
820,India,Asia,1997-01-01,61.765,959000000,1458.817442
821,Sao Tome and Principe,Africa,1987-01-01,61.728,110812,1516.525457
822,Serbia,Europe,1957-01-01,61.685,7271135,4981.090891
823,Colombia,Americas,1972-01-01,61.623,22542890,3264.660041
824,Senegal,Africa,2002-01-01,61.6,10870037,1519.635262
825,Mauritius,Africa,1967-01-01,61.557,789309,2475.387562
826,Portugal,Europe,1957-01-01,61.51,8817650,3774.571743
827,Brazil,Americas,1977-01-01,61.489,114313951,6660.118654
828,Botswana,Africa,1982-01-01,61.484,970347,4551.14215
829,Sri Lanka,Asia,1957-01-01,61.456,9128546,1072.546602
830,Montenegro,Europe,1957-01-01,61.448,442829,3682.259903
831,Peru,Americas,1982-01-01,61.406,18125129,6434.501797
832,Algeria,Africa,1982-01-01,61.368,20033753,5745.160213
833,Gabon,Africa,1992-01-01,61.366,985739,13522.15752
834,Nepal,Asia,2002-01-01,61.34,25873917,1057.206311
835,Ecuador,Americas,1977-01-01,61.31,7278866,6679.62326
836,Poland,Europe,1952-01-01,61.31,25730551,4029.329699
837,Mongolia,Asia,1992-01-01,61.271,2312802,1785.402016
838,Croatia,Europe,1952-01-01,61.21,3882229,3119.23652
839,Syria,Asia,1977-01-01,61.195,7932503,3195.484582
840,Jordan,Asia,1977-01-01,61.134,1937652,2852.351568
841,Romania,Europe,1952-01-01,61.05,16630000,3144.613186
842,Turkey,Europe,1982-01-01,61.036,47328791,4241.356344
843,"Hong Kong, China",Asia,1952-01-01,60.96,2125900,3054.421209
844,Haiti,Americas,2007-01-01,60.916,8502814,1201.637154
845,Honduras,Americas,1982-01-01,60.909,3669448,3121.760794
846,Pakistan,Asia,1992-01-01,60.838,120065004,1971.829464
847,Namibia,Africa,1987-01-01,60.835,1278184,3693.731337
848,South Africa,Africa,1987-01-01,60.834,35933379,7825.823398
849,Guatemala,Americas,1987-01-01,60.782,7326406,4246.485974
850,Venezuela,Americas,1962-01-01,60.77,8143375,8422.974165
851,West Bank and Gaza,Asia,1977-01-01,60.765,1261091,3682.831494
852,Comoros,Africa,1997-01-01,60.66,527982,1173.618235
853,Reunion,Africa,1967-01-01,60.542,414024,4021.175739
854,Chile,Americas,1967-01-01,60.523,8858908,5106.654313
855,Kuwait,Asia,1962-01-01,60.47,358266,95458.11176
